debug_print(),echo parameter `${1}` to stderr
usage(),print script usage.
setup_environment(),set various environment variables. Like 28 of them.
cleanup_chroot(),remove contents from a chrooted directory
setup_directories(),Make 3 directories. ``STAGEDIR="/builds/updater/stage"``; ``OUTPUTDIR="/builds/updater/output"``; and ``LOGDIR="/builds/updater/logs"``
setup_chroot(),
clone_source(),
build_source(),
create_src_conf(),
install_binutils(),
prep_release(),
build_base_archive(),
build_etcupdate_archive(),
build_kernel_archives(),
build_obsolete(),
build_src_tarball(),
build_mtree(),
add_extra_files(),
check_integriforce_rule_exists(),
build_integriforce_rules(),
sign_artifacts(),
git_version(),
hbsd_version(),
full_version(),
update_filename(),
build_update_archive(),
sanity_check(),
sanity_check_archive(),
log_build(),
main(),
